Marca,Desc_Producto,Precio,URL_Producto
EVGA, SuperNOVA 650 GA| 80 Plus Gold 650W| Fully Modular| ECO Mode with Dbb Fan| 10 Year Warranty| Compact 150mm Size| Power Supply 220-GA-0650-X1, 91, https://www.newegg.com/evga-supernova-650-ga-220-ga-0650-x1-650w/p/1HU-00J7-004V5?Description=PSU&cm_re=PSU-_-1HU-00J7-004V5-_-Product
Thermaltake, Toughpower GF1 850W 80+ Gold SLI/Crossfire Ready Ultra Quiet 140mm Hydraulic Bearing Smart Zero Fan Full Modular Power Supply 10 Year Warranty - PS-TPD-0850FNFAGU-1, 109, https://www.newegg.com/thermaltake-toughpower-gf1-tt-premium-edition-ps-tpd-0850fnfaga-1-850w/p/N82E16817153403?Description=PSU&cm_re=PSU-_-17-153-403-_-Product
ARESGAME, 650W Power Supply Semi Modular 80+ Bronze PSU (AGW650), 57, https://www.newegg.com/aresgame-agw650-650w/p/1HU-02S4-00012?Item=9SIAU6NE266410&Description=PSU&cm_re=PSU-_-9SIAU6NE266410-_-Product&cm_sp=SP-_-1009637-_-0-_-2-_-9SIAU6NE266410-_-PSU-_-psu-_-5
ARESGAME, 850W Power Supply Fully Modular 80+ Gold PSU (AGT850), 125, https://www.newegg.com/p/1HU-02S4-00018?Item=9SIAU6NE266772&Description=PSU&cm_re=PSU-_-9SIAU6NE266772-_-Product&cm_sp=SP-_-1009815-_-0-_-2-_-9SIAU6NE266772-_-PSU-_-psu-_-6
Seasonic, FOCUS GX-1000| 1000W 80+ Gold| Full-Modular| Fan Control in Fanless| Silent| and Cooling Mode| 10 Year Warranty| Perfect Power Supply for Gaming and Various Application| SSR-1000FX., 199, https://www.newegg.com/seasonic-focus-plus-gold-ssr-1000fx-1000w/p/N82E16817151210?Description=PSU&cm_re=PSU-_-17-151-210-_-Product
CORSAIR, RMx Series (2021) RM850x CP-9020200-NA 850 W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply, 129, https://www.newegg.com/corsair-rmx-series-rm850x-cp-9020200-na-850w/p/N82E16817139272?Description=PSU&cm_re=PSU-_-17-139-272-_-Product
Montech, BETA 550W 80+ Bronze Certified Power Supply| High Quality Components| Main Japanese Capacitors| Silent Fan| Continuous Power| High performance| 3 Years Warranty, 36, https://www.newegg.com/montech-beta-550w/p/1HU-0236-00002?Item=9SIAK91AV36499&Description=PSU&cm_re=PSU-_-9SIAK91AV36499-_-Product&cm_sp=SP-_-575799-_-0-_-3-_-9SIAK91AV36499-_-PSU-_-psu-_-9
3450W, Miner Power Supply 140mm Cooling Fan ATX 12V Version 2.31 Computer Power Supply Mining, 390, https://www.newegg.com/p/1HU-02Y8-00001?Item=9SIAVBJE3U6631&Description=PSU&cm_re=PSU-_-9SIAVBJE3U6631-_-Product&cm_sp=SP-_-1026065-_-0-_-3-_-9SIAVBJE3U6631-_-PSU-_-psu-_-10
MSI, MPG A850GF 850 W ATX 80 PLUS GOLD Certified Full Modular Active PFC Power Supply, 114, https://www.newegg.com/msi-mpg-a850gf-850w/p/N82E16817701009?Description=PSU&cm_re=PSU-_-17-701-009-_-Product
CORSAIR, CX-M CX650M 650W ATX12V / EPS12V 80 PLUS BRONZE Certified Semi-Modular Power Supply, 69, https://www.newegg.com/corsair-cx-series-cx650m-650w/p/N82E16817139275?Description=PSU&cm_re=PSU-_-17-139-275-_-Product
CORSAIR, RM650 650 W ATX 80 PLUS GOLD Certified Full Modular Power Supply, 134, https://www.newegg.com/p/N82E16817139279?Description=PSU&cm_re=PSU-_-17-139-279-_-Product
EVGA, SuperNOVA 750 GT| 80 Plus Gold 750W| Fully Modular| Auto Eco Mode with FDB Fan| 7 Year Warranty| Includes Power ON Self Tester| Compact 150mm Size| Power Supply 220-GT-0750-Y1, 104, https://www.newegg.com/evga-supernova-750-gt-220-gt-0750-y1-750w/p/N82E16817438187?Description=PSU&cm_re=PSU-_-17-438-187-_-Product
EVGA, SuperNOVA 1600 G+| 80+ GOLD 1600W| Fully Modular| 10 Year Warranty| Includes FREE Power On Self Tester| Power Supply - 220-GP-1600-X1, 332, https://www.newegg.com/evga-supernova-1600-g-220-gp-1600-x1-1600w/p/N82E16817438191?Description=PSU&cm_re=PSU-_-17-438-191-_-Product
CORSAIR, RMx Series (2021) RM550x CP-9020197-NA 550 W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply, 84, https://www.newegg.com/corsair-rmx-series-rm550x-cp-9020197-na-550w/p/N82E16817139269?Description=PSU&cm_re=PSU-_-17-139-269-_-Product
ARESGAME, Power Supply 550W 80+ Bronze Certified PSU (AGW550), 48, https://www.newegg.com/aresgame-agw-550w/p/1HU-02S4-00010?Item=9SIAU6NE266252&Description=PSU&cm_re=PSU-_-9SIAU6NE266252-_-Product&cm_sp=SP-_-1009493-_-0-_-2-_-9SIAU6NE266252-_-PSU-_-psu-_-17
AZZA, PSAZ-650W ARGB 650W Intel ATX12V 80 PLUS BRONZE Certified Power Supply, 58, https://www.newegg.com/azza-psaz-650w-argb/p/N82E16817517013?Item=9SIB2TBG272451&Description=PSU&cm_re=PSU-_-9SIB2TBG272451-_-Product&cm_sp=SP-_-1069166-_-0-_-3-_-9SIB2TBG272451-_-PSU-_-psu-_-18
CORSAIR, VS Series VS500 500W 80 PLUS Certified Non-Modular ATX Power Supply| CP-9020223-NA, 41, https://www.newegg.com/corsair-vs-series-vs500-cp-9020223-na-500w/p/N82E16817139267?Description=PSU&cm_re=PSU-_-17-139-267-_-Product
ASUS, ROG STRIX 1000W Gold PSU| Power Supply (ROG Heatsinks| Axial-tech Fan Design| Dual Ball Fan Bearings| 0dB Technology| 80 PLUS Gold Certification| Fully Modular Cables| 10-year Warranty), 221, https://www.newegg.com/asus-rog-strix-series-rog-strix-1000g-1000w/p/N82E16817320014?Description=PSU&cm_re=PSU-_-17-320-014-_-Product
Montech, Century 650 Watt 80 Plus Gold Certified Fully Modular Power Supply| Compact ATX Size| FDB Premium Fan| 100% Japanese Capacitors| High-Performance| High Quality Components, 89, https://www.newegg.com/montech-century-650-650w/p/1HU-0236-00009?Item=9SIAK91B579097&Description=PSU&cm_re=PSU-_-9SIAK91B579097-_-Product&cm_sp=SP-_-575799-_-0-_-3-_-9SIAK91B579097-_-PSU-_-psu-_-21
AZZA, PSAZ-750W 750W ATX 80 PLUS BRONZE Certified Non-Modular Power Supply, 69, https://www.newegg.com/azza-psaz-750w/p/N82E16817517016?Item=9SIB2TBG2J4343&Description=PSU&cm_re=PSU-_-9SIB2TBG2J4343-_-Product&cm_sp=SP-_-1069166-_-0-_-3-_-9SIB2TBG2J4343-_-PSU-_-psu-_-22
LIAN, LI SP 750  Performance SFX Form Factor Power Supply - SP750, 118, https://www.newegg.com/lian-li-sp750-750w/p/1HU-01PP-00003?Description=PSU&cm_re=PSU-_-1HU-01PP-00003-_-Product
EVGA, 710 BP| 80+ BRONZE 710W| 3 Year Warranty| Power Supply 100-BP-0710-K1, 48, https://www.newegg.com/evga-bp-series-100-bp-0710-k1-710w/p/N82E16817438209?Description=PSU&cm_re=PSU-_-17-438-209-_-Product
Seasonic, PRIME 1300W 80+ Platinum Power Supply| Full Modular| 135mm FDB Fan w/Hybrid Fan Control| ATX12V & EPS12V| Power On Self Tester| 12 yr Warranty| SSR-1300PD, 289, https://www.newegg.com/seasonic-prime-1300w-platinum-ssr-1300pd/p/N82E16817151214?Description=PSU&cm_re=PSU-_-17-151-214-_-Product
EVGA, 600 BR 100-BR-0600-K1 600 W ATX12V / EPS12V SLI CrossFire 80 PLUS BRONZE Certified Non-Modular Active PFC Power Supply, 62, https://www.newegg.com/evga-600-br-100-br-0600-k1-600w/p/N82E16817438146?Description=PSU&cm_re=PSU-_-17-438-146-_-Product
EVGA, 700 GD 100-GD-0700-V1 700 W ATX12V / EPS12V 80 PLUS GOLD Certified Non-Modular Active PFC Power Supply, 64, https://www.newegg.com/evga-700-gd-100-gd-0700-v1-700w/p/N82E16817438159?Description=PSU&cm_re=PSU-_-17-438-159-_-Product
EVGA, SuperNOVA 650 G5| 80 Plus Gold 650W| Fully Modular| Eco Mode with FDB Fan| 10 Year Warranty| Includes Power ON Self Tester| Compact 150mm Size| Power Supply 220-G5-0650-X1, NA, https://www.newegg.com/evga-supernova-650-g5-220-g5-0650-x1-650w/p/N82E16817438163?Description=PSU&cm_re=PSU-_-17-438-163-_-Product
AZZA, PSAZ-550W 550W Intel ATX12V 80 PLUS BRONZE Certified Power Supply, 47, https://www.newegg.com/azza-psaz-550w/p/N82E16817517015?Item=9SIB2TBG268024&Description=PSU&cm_re=PSU-_-9SIB2TBG268024-_-Product&cm_sp=SP-_-1069166-_-0-_-3-_-9SIB2TBG268024-_-PSU-_-psu-_-29
Goldshell, Mini-DOGE 185MH/S Simple Mining Machine LTC&DOGE 233W Low Noise Miner Small Home Riching(with 300W Power Cord), 1597, https://www.newegg.com/p/0X6-099Z-00087?Item=9SIB574GAY8687&Description=PSU&cm_re=PSU-_-9SIB574GAY8687-_-Product&cm_sp=SP-_-773628-_-0-_-0-_-9SIB574GAY8687-_-PSU-_-psu-_-30
NZXT, C750 NP-C750M 750 Watt PSU 80+ Gold Certified Hybrid Silent Fan Control Fluid Dynamic Bearings Modular Design Sleeved Cables ATX Gaming Power Supply| 10 Year Warranty, 109, https://www.newegg.com/nzxt-np-c750m-us-750w/p/N82E16817116040?Description=PSU&cm_re=PSU-_-17-116-040-_-Product
CORSAIR, AXi Series AX1600i CP-9020087-NA 1600W ATX 80 PLUS TITANIUM Certified Full Modular Digital ATX Power Supply, 609, https://www.newegg.com/corsair-ax1600i-cp-9020087-na-1600w/p/N82E16817139226?Description=PSU&cm_re=PSU-_-17-139-226-_-Product
