Marca,Desc_Producto,Precio,URL_Producto,
KUU," Notebook Intel celeron N4120 Processor 13.5 Inch IPS 3000*5000 8GB DDR4+256GB SSD Full Metal Notebook Backlit Keyboard"," 399"," https://www.newegg.com/p/1TS-00BK-00056?Item=9SIANGPFYC1672&Description=CPU&cm_re=CPU-_-9SIANGPFYC1672-_-Product&cm_sp=SP-_-743350-_-0-_-6-_-9SIANGPFYC1672-_-CPU-_-cpu-_-18",
Intel," Core i3-10105 - Core i3 10th Gen Comet Lake Quad-Core 3.7 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110105"," 112"," https://www.newegg.com/intel-core-i3-10105-core-i3-10th-gen/p/N82E16819118248?Description=CPU&cm_re=CPU-_-19-118-248-_-Product",
Intel," Core i5-12500 - Core i5 12th Gen Alder Lake 6-Core 3.0 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512500"," 214"," https://www.newegg.com/intel-core-i5-12500-core-i5-12th-gen/p/N82E16819118374?Description=CPU&cm_re=CPU-_-19-118-374-_-Product",
SR-01CPU," Air Cooler| 4 Heat-Pipes| 126mm  CPU Fan| Removable 92mm PWM Fans| Fins Bending| 3-pin  CPU for AMD Ryzen/Intel LGA1150"," 33"," https://www.newegg.com/p/13C-00ZU-00002?Item=9SIB6ZFH9T3539&Description=CPU&cm_re=CPU-_-9SIB6ZFH9T3539-_-Product&cm_sp=SP-_-1074858-_-0-_-2-_-9SIB6ZFH9T3539-_-CPU-_-cpu-_-21",
HX-600," CPU Cooler| 90mm RGB CPU Fan 6 Heatpipes CPU Air Cooler 4 Pin Computer CPU Cooling 3-Fan Radiator for Intel & AMD Motherboard CPU Cooling Easy Installation"," 29"," https://www.newegg.com/p/13C-00ZU-00004?Item=9SIB6ZFH9T5044&Description=CPU&cm_re=CPU-_-9SIB6ZFH9T5044-_-Product&cm_sp=SP-_-1074858-_-0-_-2-_-9SIB6ZFH9T5044-_-CPU-_-cpu-_-22",
Intel," Core i3-10105F - Core i3 10th Gen Comet Lake Quad-Core 3.7 GHz LGA 1200 65W Desktop Processor - BX8070110105F"," 83"," https://www.newegg.com/intel-core-i3-10105f-core-i3-10th-gen/p/N82E16819118353?Description=CPU&cm_re=CPU-_-19-118-353-_-Product",
Intel," Core i5-11600 - Core i5 11th Gen Rocket Lake 6-Core 2.8 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811600"," 189"," https://www.newegg.com/intel-core-i5-11600-core-i5-11th-gen/p/N82E16819118238?Description=CPU&cm_re=CPU-_-19-118-238-_-Product",
Intel," Core i5-11400F - Core i5 11th Gen Rocket Lake 6-Core 2.6 GHz LGA 1200 65W Desktop Processor - BX8070811400F"," 149"," https://www.newegg.com/intel-core-i5-11400f-core-i5-11th-gen/p/N82E16819118264?Description=CPU&cm_re=CPU-_-19-118-264-_-Product",
Intel," Core i7-10700 - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110700"," 268"," https://www.newegg.com/intel-core-i7-10700-core-i7-10th-gen/p/N82E16819118126?Description=CPU&cm_re=CPU-_-19-118-126-_-Product",
Cooler," Master Hyper T20 Compact CPU Air Cooler with 2 Copper Heat Pipes. 95mmFan| Direct Contact Technology for AMD Ryzen/Intel LGA1200/1151"," 35"," https://www.newegg.com/cooler-master-rr-t20-20fk-r1-hyper-t20/p/N82E16835103325?Description=CPU&cm_re=CPU-_-35-103-325-_-Product",
Intel," Core i5-12600 - Core i5 12th Gen Alder Lake 6-Core 3.3 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512600"," 229"," https://www.newegg.com/intel-core-i5-12600-core-i5-12th-gen/p/N82E16819118371?Description=CPU&cm_re=CPU-_-19-118-371-_-Product",
SR-01CPU," Air Cooler| 4 Heat-Pipes| 126mm  CPU Fan| Removable 92mm PWM Fans| Fins Bending| 3-pin  CPU for AMD Ryzen/Intel LGA1150 Blue"," 33"," https://www.newegg.com/p/13C-00ZU-00003?Item=9SIB6ZFH9T3544&Description=CPU&cm_re=CPU-_-9SIB6ZFH9T3544-_-Product&cm_sp=SP-_-1074858-_-0-_-2-_-9SIB6ZFH9T3544-_-CPU-_-cpu-_-29",
SR-1200," RGB CPU Air Cooler| 4 Heat-Pipes| 126mm RGB CPU Fan| Removable 92mm PWM Fans| Fins Bending| 4-pin RGB CPU Cooler| RGB Lighting for AMD Ryzen/Intel LGA1150"," 42"," https://www.newegg.com/p/13C-00ZU-00001?Item=9SIB6ZFH9T1100&Description=CPU&cm_re=CPU-_-9SIB6ZFH9T1100-_-Product&cm_sp=SP-_-1074858-_-0-_-2-_-9SIB6ZFH9T1100-_-CPU-_-cpu-_-30",
